success,spl,distance
0.0,0.0,4.373966
1.0,0.0,0.34471002
1.0,1.0,0.34471002
1.0,1.0,0.34471002
0.0,0.0,4.519216
0.0,0.0,3.963663
0.0,0.0,4.3642235
1.0,0.0,0.34471002
1.0,1.0,0.34471002
1.0,0.0,0.34471002
0.0,0.0,4.519216
